기본 정보,,,,,,,,,,,,,,,　,　,　,　,　,　,서버,　,　,추가 IP 정보,,,추가 DISK 정보,,,,,,서버 이중화,,SW 정보,,,,보안 설정,,접근 제어,보안 에이전트,,
순번,SYSTEM명,Cloud 구분,환경,현재 상태,센터 ,Zone ,POD,CNODE,CNODE IP,기능 구분 ,기능 설명,이름(HERA or Console),기동 여부,기본 IP,"""NAT"" or ""Floating IP""",접근제어 이름,hostname,OS,CORE(Count),MEM(GB),DB ,WEB ,AP,Storage_IP,Services_IP,Virtual_IP,OS Disk Type ,OS Disk(GB),추가 Disk Type,추가 Disk(GB),외장 Disk Type ,외장 Disk(GB),이중화 구성,이중화 방식 ,OS Kernel,HA S/W,JDK,Python,SELinux 설정 확인,서버 방화벽 사용 여부,OS 접근제어,VITA,서버백신,웹쉘
51,GAIA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod3,cnode14,10.2.16.14,AP,　,m1-gaia-ans-prd-a01,Running,10.2.14.97,-,m1-gaia-ans-prd-a01,m1-gaia-ans-prd-a01,rocky-8.10-64bit,8,16,-,-,-,-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,-,-,-,O,　,　,　
52,GAIA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod3,cnode08,10.2.16.8,AP,　,m1-gaia-ans-prd-a02,Running,10.2.14.98,-,m1-gaia-ans-prd-a02,m1-gaia-ans-prd-a02,rocky-8.10-64bit,8,16,-,-,-,-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,-,-,-,O,　,　,　
53,GAIA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod3,cnode04,10.2.16.4,AP,　,m1-gaia-ans-prd-a03,Running,10.2.14.99,-,m1-gaia-ans-prd-a03,m1-gaia-ans-prd-a03,rocky-8.10-64bit,8,16,-,-,-,-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,-,-,-,O,　,　,　
54,GAIA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod3,cnode06,10.2.16.6,AP,　,m1-gaia-cm-prd-c01,Running,10.2.14.64,-,m1-gaia-cm-prd-c01,m1-gaia-cm-prd-c01,rocky-8.10-64bit,16,32,-,-,"kubernetes-cni-1.2.0-150500.2.1.x86_64
kubectl-1.28.15-150500.1.1.x86_64
kubelet-1.28.15-150500.1.1.x86_64
kubeadm-1.28.15-150500.1.1.x86_64",-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,-,-,-,O,　,　,　
55,GAIA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod3,cnode03,10.2.16.3,AP,　,m1-gaia-cm-prd-c02,Running,10.2.14.65,-,m1-gaia-cm-prd-c02,m1-gaia-cm-prd-c02,rocky-8.10-64bit,16,32,-,-,"kubernetes-cni-1.2.0-150500.2.1.x86_64
kubelet-1.28.15-150500.1.1.x86_64
kubectl-1.28.15-150500.1.1.x86_64
kubeadm-1.28.15-150500.1.1.x86_64",-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,-,-,-,O,　,　,　
56,GAIA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod3,cnode15,10.2.16.15,AP,　,m1-gaia-cm-prd-c03,Running,10.2.14.66,-,m1-gaia-cm-prd-c03,m1-gaia-cm-prd-c03,rocky-8.10-64bit,16,32,-,-,"kubernetes-cni-1.2.0-150500.2.1.x86_64
kubelet-1.28.15-150500.1.1.x86_64
kubectl-1.28.15-150500.1.1.x86_64
kubeadm-1.28.15-150500.1.1.x86_64",-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,-,-,-,O,　,　,　
57,GAIA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod3,cnode12,10.2.16.12,DB,　,m1-gaia-comm-prd-d01,Running,10.2.14.92,-,m1-gaia-comm-prd-d01,m1-gaia-comm-prd-d01,rocky-8.10-64bit,32,64,PostgreSQL 15.14,-,-,-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,-,-,-,O,　,　,　
58,GAIA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod3,cnode03,10.2.16.3,DB,　,m1-gaia-comm-prd-d02,Running,10.2.14.93,-,m1-gaia-comm-prd-d02,m1-gaia-comm-prd-d02,rocky-8.10-64bit,32,64,PostgreSQL 15.14,-,-,-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,-,-,-,O,　,　,　
59,GAIA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod3,cnode15,10.2.16.15,AP,　,m1-gaia-cw-prd-c01,Running,10.2.14.67,-,m1-gaia-cw-prd-c01,m1-gaia-cw-prd-c01,rocky-8.10-64bit,16,32,-,-,"kubernetes-cni-1.2.0-150500.2.1.x86_64
kubelet-1.28.15-150500.1.1.x86_64
kubectl-1.28.15-150500.1.1.x86_64
kubeadm-1.28.15-150500.1.1.x86_64",-,-,-,-,-,-,-,-,-,LB,A-A,4.18.0-553.el8_10.x86_64,-,-,-,-,-,O,　,　,　
60,GAIA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod3,cnode16,10.2.16.16,AP,　,m1-gaia-cw-prd-c02,Running,10.2.14.217,-,m1-gaia-cw-prd-c02,m1-gaia-cw-prd-c02,rocky-8.10-64bit,16,32,-,-,"kubernetes-cni-1.2.0-150500.2.1.x86_64
kubelet-1.28.15-150500.1.1.x86_64
kubectl-1.28.15-150500.1.1.x86_64
kubeadm-1.28.15-150500.1.1.x86_64",-,-,-,-,-,-,-,-,-,LB,A-A, 4.18.0-553.el8_10.x86_64,-,-,-,-,-,O,　,　,　
61,GAIA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod3,cnode12,10.2.16.12,AP,　,m1-gaia-cw-prd-c03,Running,10.2.14.218,-,m1-gaia-cw-prd-c03,m1-gaia-cw-prd-c03,rocky-8.10-64bit,16,32,-,-,"kubernetes-cni-1.2.0-150500.2.1.x86_64
kubelet-1.28.15-150500.1.1.x86_64
kubectl-1.28.15-150500.1.1.x86_64
kubeadm-1.28.15-150500.1.1.x86_64",-,-,-,-,-,-,-,-,-,LB,A-A,4.18.0-553.el8_10.x86_64,-,-,-,-,-,O,　,　,　
62,GAIA,민간(EPC),개발(DEV),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod3,cnode02,10.2.16.2,AP,　,m1-gaia-dev-ansible-a01(m1-jpt-dev-ansible-d01),Running,10.2.14.160,-,m1-jpt-dev-ansible-d01,m1-gaia-dev-ansible-a01,rocky-8.10-64bit,32,96,-,-,"kubernetes-cni-1.5.1-150500.1.1.x86_64
kubeadm-1.31.0-150500.1.1.x86_64
kubectl-1.31.0-150500.1.1.x86_64
kubelet-1.31.0-150500.1.1.x86_64",-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,Python 3.12.1,-,-,O,　,　,　
63,GAIA,민간(EPC),개발(DEV),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode24,10.2.13.24,AP,　,m1-gaia-dev-ansible-p01(m1-jpt-dev-ansible-q01),Running,10.2.14.158,-,m1-jpt-dev-ansible-q01,m1-gaia-dev-ansible-p01,rocky-8.10-64bit,2,8,-,-,-,-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,Python 3.6.8,-,-,O,　,　,　
64,GAIA,민간(EPC),개발(DEV),미사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode03,10.2.7.3,AP,　,m1-gaia-dev-ansible-p02,Running,10.2.14.159,-,-,-,rocky-8.10-64bit,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,O,-,-,-
65,GAIA,민간(EPC),개발(DEV),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode03,10.2.7.3,WEB,　,m1-gaia-dev-ansible-w01(m1-jpt-dev-ansible-a01),Running,10.2.14.157,-,m1-jpt-dev-ansible-a01,m1-gaia-dev-ansible-w01,rocky-8.10-64bit,4,8,-,-,-,-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,Python 3.12.1,Disabled,-,O,　,O,　
66,GAIA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod3,cnode06,10.2.16.6,LB,　,m1-gaia-hap-prd-a01,Running,10.2.14.62,-,m1-gaia-hap-prd-a01,m1-gaia-hap-prd-a01,rocky-8.10-64bit,4,4,-,-,HAProxy version 1.8.27,-,-,10.2.14.61,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,-,-,-,O,　,　,　
67,GAIA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod3,cnode15,10.2.16.15,LB,　,m1-gaia-hap-prd-a02,Running,10.2.14.63,-,m1-gaia-hap-prd-a02,m1-gaia-hap-prd-a02,rocky-8.10-64bit,4,4,-,-,HA-Proxy version 1.8.27,-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,-,-,-,O,　,　,　
68,GAIA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod3,cnode04,10.2.16.4,AP,　,m1-gaia-mq-prd-a01,Running,10.2.14.94,-,m1-gaia-mq-prd-a01,m1-gaia-mq-prd-a01,rocky-8.10-64bit,4,8,-,-,"kubeadm-1.28.15-150500.1.1.x86_64
kubectl-1.28.15-150500.1.1.x86_64
kubelet-1.28.15-150500.1.1.x86_64
kubernetes-cni-1.2.0-150500.2.1.x86_64",-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,-,-,-,O,　,　,　
69,GAIA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod3,cnode08,10.2.16.8,AP,　,m1-gaia-mq-prd-a02,Running,10.2.14.95,-,m1-gaia-mq-prd-a02,m1-gaia-mq-prd-a02,rocky-8.10-64bit,4,8,-,-,"kubelet-1.28.15-150500.1.1.x86_64
kubectl-1.28.15-150500.1.1.x86_64
kubernetes-cni-1.2.0-150500.2.1.x86_64
kubeadm-1.28.15-150500.1.1.x86_64",-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,-,-,-,O,　,　,　
70,GAIA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod3,cnode14,10.2.16.14,AP,　,m1-gaia-mq-prd-a03,Running,10.2.14.96,-,m1-gaia-mq-prd-a03,m1-gaia-mq-prd-a03,rocky-8.10-64bit,4,8,-,-,"kubelet-1.28.15-150500.1.1.x86_64
kubectl-1.28.15-150500.1.1.x86_64
kubernetes-cni-1.2.0-150500.2.1.x86_64
kubeadm-1.28.15-150500.1.1.x86_64",-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,-,-,-,O,　,　,　
71,GAIA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod3,cnode15,10.2.16.15,AP,　,m1-gaia-prd-ansible-a02(m1-jpt-prd-aut-e03),Running,10.2.14.58,-,m1-jpt-prd-aut-e03,m1-gaia-prd-ansible-a02,rocky-8.10-64bit,12,16,-,-,-,-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,-,-,-,O,　,　,　
72,GAIA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod3,cnode03,10.2.16.3,AP,　,m1-gaia-prd-ansible-p01(m1-jpt-prd-pro-a02),Running,10.2.14.132,-,m1-jpt-prd-pro-a02,m1-gaia-prd-ansible-p01-new,rocky-8.10-64bit,24,16,-,-,-,-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,Python 3.12.1,-,-,O,　,　,　
73,GAIA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode23,10.2.13.23,AP,　,m1-gaia-prd-ansible-p02(m1-jpt-prd-pro-a04),Running,10.2.14.134,-,m1-jpt-prd-pro-a04,m1-gaia-prd-ansible-p02,rocky-8.10-64bit,8,8,-,-,-,-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,Python 3.12.1,-,-,O,　,　,　
74,HERA,민간(EPC),개발(DEV),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode07,10.2.7.7,AP,　,m1-hera-apigw-a01,Running,10.2.14.166,-,m1-hera-apigw-a01,m1-hera-apigw-a01,rocky-8.10-64bit,4,8,-,-,"JAR_FILE: apigw-0.0.1-SNAPSHOT.war
Spring Boot Version: 3.3.5
JAR_FILE: hera_dbgw-0.0.1-SNAPSHOT.war
Spring Boot Version: 3.3.5",-,-,-,SSD,32 GB,SSD,70 GB,-,-,　,　,4.18.0-553.el8_10.x86_64,-,"openjdk version ""17.0.11""",Python 3.11.7,Disabled,firewalld,O,O,O,X
75,HERA,민간(EPC),개발(DEV),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode08,10.2.7.8,AP,　,m1-hera-apigw-b01,Running,10.2.14.167,-,m1-hera-apigw-b01,m1-hera-apigw-b01,rocky-8.10-64bit,16,32,-,-,"JAR_FILE: batch_runner-0.0.1-SNAPSHOT.jar
Spring Boot Version: 3.3.5",-,-,-,SSD,32 GB,SSD,"70 GB
20 GB",-,-,　,　,4.18.0-553.el8_10.x86_64,-,"openjdk version ""17.0.11""",Python 3.11.7,Disabled,firewalld,O,O,O,X
76,HERA,민간(EPC),개발(DEV),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode04,10.2.7.4,DB,　,m1-hera-apigw-d01,Running,10.2.14.170,-,m1-hera-apigw-d01,m1-hera-apigw-d01,rocky-8.10-64bit,8,16,Mariadb 11.4.4,-,-,-,-,-,SSD,32 GB,SSD,"20 GB
200 GB",-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,-,Disabled,firewalld,O,O,O,X
77,HERA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode24,10.2.13.24,AP,　,m1-hera-apigw-prd-a01,Running,10.2.14.194,-,m1-hera-apigw-prd-a01,m1-hera-apigw-prd-a01,rocky-8.10-64bit,16,16,-,-,-,10.2.8.217,-,-,SSD,32 GB,SSD,400 GB,ISCSI,400 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,"openjdk version ""17.0.11""",Python 3.6.8,Disabled,firewalld,O,O,O,X
78,HERA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode25,10.2.13.25,AP,　,m1-hera-apigw-prd-a02,Running,10.2.14.195,-,m1-hera-apigw-prd-a02,m1-hera-apigw-prd-a02,rocky-8.10-64bit,16,16,-,-,"JAR_FILE: apigw-0.0.1-SNAPSHOT.war
Spring Boot Version: 3.3.5
JAR_FILE: hera_dbgw-0.0.1-SNAPSHOT.war
Spring Boot Version: 3.3.5",10.2.8.218,-,10.2.14.196,SSD,32 GB,SSD,400 GB,ISCSI,400 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,"openjdk version ""17.0.11""",Python 3.6.8,Disabled,firewalld,O,O,O,X
79,HERA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode22,10.2.13.22,AP,　,m1-hera-apigw-prd-b01,Running,10.2.14.198,-,m1-hera-apigw-prd-b01,m1-hera-apigw-prd-b01,rocky-8.10-64bit,32,32,-,-,-,10.2.8.219,-,-,SSD,32 GB,SSD,"20 GB
400 GB",ISCSI,400 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,"openjdk version ""17.0.11""",Python 3.6.8,Disabled,firewalld,O,O,O,X
80,HERA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode24,10.2.13.24,AP,　,m1-hera-apigw-prd-b02,Running,10.2.14.200,-,m1-hera-apigw-prd-b02,m1-hera-apigw-prd-b02,rocky-8.10-64bit,32,32,-,-,-,10.2.8.220,-,10.2.14.201,SSD,32 GB,SSD,"20 GB
400 GB",ISCSI,400 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,"openjdk version ""17.0.11""",Python 3.6.8,Disabled,firewalld,O,O,O,X
81,HERA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode25,10.2.13.25,DB,　,m1-hera-apigw-prd-d01,Running,10.2.14.202,-,m1-hera-apigw-prd-d01,m1-hera-apigw-prd-d01,rocky-8.10-64bit,16,32,Mariadb 11.4.4,-,-,10.2.8.180,-,10.2.14.204,SSD,32 GB,SSD,20 GB,ISCSI,"860.1 GB
600.1 GB",HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
82,HERA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode25,10.2.13.25,DB,　,m1-hera-apigw-prd-d02,Running,10.2.14.203,-,m1-hera-apigw-prd-d02,m1-hera-apigw-prd-d02,rocky-8.10-64bit,16,32,Mariadb 11.4.4,-,-,10.2.8.182,-,-,SSD,32 GB,SSD,20 GB,ISCSI,"860.1 GB
600.1 GB",HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
83,HERA,민간(EPC),개발(DEV),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode06,10.2.7.6,AP,　,m1-hera-comm-a01,Running,10.2.14.165,-,m1-hera-comm-a01,m1-hera-comm-a01,rocky-8.10-64bit,4,8,-,-,"JAR_FILE: hera-0.0.1-SNAPSHOT.war
Spring Boot Version: 3.3.5",-,-,-,SSD,32 GB,SSD,70 GB,-,-,　,　,4.18.0-553.el8_10.x86_64,-,"openjdk version ""17.0.11""",Python 3.11.7,Disabled,사용안함,O,O,O,X
84,HERA,민간(EPC),개발(DEV),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode03,10.2.7.3,DB,　,m1-hera-comm-d01,Running,10.2.14.169,-,m1-hera-comm-d01,m1-hera-comm-d01,rocky-8.10-64bit,8,16,Mariadb 11.4.4,-,-,-,-,-,SSD,32 GB,SSD,"20 GB
200 GB",-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,-,Disabled,firewalld,O,O,O,X
85,HERA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode13,10.2.13.13,AP,　,m1-hera-comm-prd-a01,Running,10.2.14.183,-,m1-hera-comm-prd-a01,m1-hera-comm-prd-a01,rocky-8.10-64bit,8,16,-,-,"JAR_FILE: hera-0.0.1-SNAPSHOT.war
Spring Boot Version: 3.3.5",-,-,-,SSD,32 GB,SSD,400 GB,-,-,　,　,4.18.0-553.el8_10.x86_64,-,"openjdk version ""17.0.11""",Python 3.11.7,Disabled,사용안함,O,O,O,X
86,HERA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode01,10.2.7.1,AP,　,m1-hera-comm-prd-a02,Running,10.2.14.184,-,m1-hera-comm-prd-a02,m1-hera-comm-prd-a02,rocky-8.10-64bit,8,16,-,-,"JAR_FILE: hera-0.0.1-SNAPSHOT.war
Spring Boot Version: 3.3.5",-,-,-,SSD,32 GB,SSD,400 GB,-,-,　,　,4.18.0-553.el8_10.x86_64,-,"openjdk version ""17.0.11""",Python 3.11.7,Disabled,사용안함,O,O,O,X
87,HERA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode26,10.2.13.26,DB,　,m1-hera-comm-prd-d01,Running,10.2.14.191,-,m1-hera-comm-prd-d01,m1-hera-comm-prd-d01,rocky-8.10-64bit,16,16,Mariadb 11.4.4,-,-,10.2.8.176,-,-,SSD,32 GB,SSD,20 GB,ISCSI,"440 GB
300 GB",HA,A-S,4.18.0-553.el8_10.x86_64,MCCS 4.4.14,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
88,HERA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode26,10.2.13.26,DB,　,m1-hera-comm-prd-d02,Running,10.2.14.192,-,m1-hera-comm-prd-d02,m1-hera-comm-prd-d02,rocky-8.10-64bit,16,16,Mariadb 11.4.4,-,-,10.2.8.178,-,10.2.14.193,SSD,32 GB,SSD,20 GB,ISCSI,"440 GB
300 GB",HA,A-S,4.18.0-553.el8_10.x86_64,MCCS 4.4.14,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
89,HERA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode07,10.2.7.7,WEB,　,m1-hera-comm-prd-w01,Running,10.2.14.178,-,m1-hera-comm-prd-w01,m1-hera-comm-prd-w01,rocky-8.10-64bit,4,16,-,Apache/2.4.63,-,-,-,-,SSD,32 GB,SSD,100 GB,-,-,LB,A-A,4.18.0-553.el8_10.x86_64,-,-,-,Disabled,사용안함,O,O,O,O
90,HERA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode06,10.2.7.6,WEB,　,m1-hera-comm-prd-w02,Running,10.2.14.180,-,m1-hera-comm-prd-w02,m1-hera-comm-prd-w02,rocky-8.10-64bit,4,16,-,Apache/2.4.63,-,-,-,-,SSD,32 GB,SSD,100 GB,-,-,LB,A-A,4.18.0-553.el8_10.x86_64,-,-,-,Disabled,사용안함,O,O,O,O
91,HERA,민간(EPC),개발(DEV),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode04,10.2.7.4,WEB,　,m1-hera-comm-w01,Running,10.2.14.163,-,m1-hera-comm-w01,m1-hera-comm-w01,rocky-8.10-64bit,2,4,-,Apache/2.4.63,-,-,-,-,SSD,32 GB,SSD,70 GB,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,-,Disabled,사용안함,O,O,O,O
92,HERA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode02,10.2.7.2,LB,　,m1-hera-hap-prd-a01,Running,10.2.14.59,-,m1-hera-hap-prd-a01,m1-hera-hap-prd-a01,rocky-8.10-64bit,4,4,-,-,HAProxy version 3.0.5,-,-,"10.2.14.176
10.2.14.182",SSD,32 GB,-,-,-,-,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
93,HERA,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode03,10.2.7.3,LB,　,m1-hera-hap-prd-a02,Running,10.2.14.174,-,m1-hera-hap-prd-a02,m1-hera-hap-prd-a02,rocky-8.10-64bit,4,4,-,-,HAProxy version 3.0.5,-,-,-,SSD,32 GB,-,-,-,-,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
94,GIT,민간(EPC),개발(DEV),미사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode06,10.2.7.6,AP,　,m1-jpt-com-git-01,Running,10.2.14.228,-,m1-jpt-com-git-01,m1-jpt-com-git-01,centos-7.9-64bit,4,8,-,-,-,-,-,-,SSD,34.4 GB,SSD,107.4 GB,-,-,　,　,3.10.0-1160.45.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,X,X,X
95,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode23,10.2.13.23,DB,　,m1-jpt-prd-zab-pd09(m1-jpt-prd-gzab-d01),Running,10.2.14.187,-,m1-jpt-prd-zab-pd09,m1-jpt-prd-zab-pd09,centos-7.9-64bit,8,16,PostgreSQL 13.5,-,-,10.2.8.114,-,10.2.14.235,SSD,21.5 GB,SSD,34.4 GB,ISCSI,161.1 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
96,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode26,10.2.13.26,DB,　,m1-jpt-prd-zab-pd10(m1-jpt-prd-gzab-d02),Running,10.2.14.188,-,m1-jpt-prd-zab-pd10,m1-jpt-prd-zab-pd10,centos-7.9-64bit,8,16,PostgreSQL 13.5,-,-,10.2.8.113,-,-,SSD,21.5 GB,SSD,34.4 GB,ISCSI,161.1 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
97,LUPPITER,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode25,10.2.13.25,LB,　,m1-jpt-prd-hap-a01,Running,10.2.14.144,-,m1-jpt-prd-hap-a01,m1-jpt-prd-hap-a01,centos-7.9-64bit,4,4,-,-,HAProxy version 2.6.1,-,-,"10.2.14.146
10.2.14.137
10.2.14.140
10.2.14.142
10.2.14.210",SSD,21.5 GB,-,-,-,-,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
98,LUPPITER,민간(EPC),운영(PRD),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod1,cnode24,10.2.13.24,LB,　,m1-jpt-prd-hap-a02,Running,10.2.14.145,-,m1-jpt-prd-hap-a02,m1-jpt-prd-hap-a02,centos-7.9-64bit,4,4,-,-,HAProxy version 2.6.1,-,-,-,SSD,21.5 GB,-,-,-,-,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
99,LUPPITER,민간(EPC),운영(PRD),미사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode02,10.2.7.2,LB,　,m1-jpt-prd-hap-a03,Running,10.2.14.161,-,m1-jpt-prd-hap-a03,m1-jpt-prd-hap-a03,centos-7.9-64bit,4,8,-,-,-,-,-,-,SSD,34.4 GB,SSD,75.2 GB,-,-,　,　,3.10.0-1160.45.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,X,X,X
100,LUPPITER,민간(EPC),운영(PRD),미사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode03,10.2.7.3,LB,　,m1-jpt-prd-hap-a04,Running,10.2.14.162,-,m1-jpt-prd-hap-a04,m1-jpt-prd-hap-a04,centos-7.9-64bit,4,8,-,-,-,-,-,-,SSD,34.4 GB,SSD,75.2 GB,-,-,　,　,3.10.0-1160.45.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,X,X,X
